Product Name,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"Techn phone 8 Plus (Gold, 64 GB)",Techn,49900,49900,0,3431,356,HHTGUH,4.6,2 GB
"Techn phone 8 Plus (Space Grey, 256 GB)",Techn,84900,84900,0,3431,356,6TJT4F,4.6,2 GB
"Techn phone 8 Plus (Silver, 256 GB)",Techn,84900,84900,0,3431,356,TABXWZ,4.6,2 GB
"Techn phone 8 (Silver, 256 GB)",Techn,77000,77000,0,11202,794,WUHCBA,4.5,2 GB
"Techn phone 8 (Gold, 256 GB)",Techn,77000,77000,0,11202,794,7PFEJZ,4.5,2 GB
"Techn phone 8 Plus (Silver, 64 GB)",Techn,49900,49900,0,3431,356,YYP8FV,4.6,2 GB
"Techn phone 8 Plus (Space Grey, 64 GB)",Techn,49900,49900,0,3431,356,BREZP8,4.6,2 GB
"Techn phone 8 (Space Grey, 256 GB)",Techn,77000,77000,0,11202,794,ZGZEWV,4.5,2 GB
"Techn phone XS Max (Silver, 64 GB)",Techn,89900,89900,0,1454,149,AHW8V5,4.6,4 GB
Techn phone XR ,Techn,41999,52900,20,79512,6796,C23PWQ,4.6,4 GB
"Techn phone XR (Black, 64 GB) ",Techn,39999,47900,16,79512,6796,GV4GNH,4.6,4 GB
"Techn phone XR (Coral, 128 GB) ",Techn,41999,52900,20,79582,6804,GF5UAP,4.6,4 GB
"Techn phone XR (Black, 128 GB) ",Techn,41999,52900,20,79512,6796,NFGZUC,4.6,3 GB
"Techn phone XR (White, 128 GB) ",Techn,41999,52900,20,79512,6796,3HCDZZ,4.6,4 GB
"Techn phone 11 Pro Max (Gold, 256 GB)",Techn,131900,131900,0,1078,101,CHSPFH,4.7,4 GB
"Techn phone 11 Pro Max (Gold, 64 GB)",Techn,117100,117100,0,1078,101,AYNSGG,4.7,4 GB
"Techn phone 11 Pro Max (Midnight Green, 256 GB)",Techn,131900,131900,0,1078,101,AKGQV7,4.7,4 GB
"Techn phone 11 Pro Max (Space Grey, 64 GB)",Techn,117100,117100,0,1078,101,MKCGQS,4.7,4 GB
"Techn phone 11 Pro (Midnight Green, 64 GB)",Techn,74999,106600,29,7088,523,TG3RFJ,4.6,4 GB
"Techn phone 11 Pro (Space Grey, 512 GB)",Techn,117900,140300,15,7088,523,HRQTFT,4.6,4 GB
"Techn phone 11 Pro Max (Midnight Green, 64 GB)",Techn,117100,117100,0,1078,101,PAQNYT,4.7,4 GB
"Techn phone 11 Pro (Midnight Green, 512 GB)",Techn,117900,140300,15,7088,523,CWYGCC,4.6,4 GB
"Techn phone 11 Pro (Space Grey, 256 GB)",Techn,99900,121300,17,7081,522,YSAS9X,4.6,4 GB
"Techn phone SE (White, 256 GB) (Includes EarPods, Power Adapter)",Techn,44999,54900,18,95909,8161,CHAPEH,4.5,2 GB
"Techn phone 12 Pro (Silver, 512 GB)",Techn,140900,149900,6,542,42,Y6ZBVA,4.5,4 GB
"Techn phone 12 Pro Max (Pacific Blue, 256 GB)",Techn,130900,139900,6,580,45,TJXCVT,4.6,6 GB
